SampleID,ichorCNA
ZK0AAAH82NB,0.009064
ZK0AAAJ06NB,0.008397
ZK0AAAI90NB,0.0
ZK0AAAH57NB,0.01122
ZK0AAAH58NB,0.006774
K0AAAA01NB,0.00648
K0AAAA02NB,0.01443
K0AAAA04NB,0.004795
K0AAAA06NB,0.004781
K0AAAA09NB,0.01108
K0AAAA11NB,0.009158
ZK0AAAA14NB,0.0
ZK0AAAA16NB,0.005103
ZK0AAAA17NB,0.01031
ZK0AAAA21NB,0.006967
ZK0AAAA22NB,0.01188
ZK0AAAA24NB,0.006818
ZK0AAAA33NB,0.004728
ZK0AAAA35NB,0.008974
ZK0AAAA36NB,0.01055
ZK0AAAA38NB,0.01026
ZK0AAAA42NB,0.008046
ZK0AAAA50NB,0.009453
ZK0AAAA55NB,0.007812
ZK0AAAA66NB,0.008388
ZK0AAAA72NB,0.01173
ZK0AAAA73NB,0.006689
ZK0AAAA76NB,0.0
ZK0AAAA89NB,0.0
ZK0AAAA92NB,0.004223
ZK0AAAA94NB,0.0
ZK0AAAA97NB,0.0
ZK0AAAB01NB,0.005276
ZK0AAAB06NB,0.00588
ZK0AAAB07NB,0.01334
ZK0AAAB14NB,0.01026
ZK0AAAB16NB,0.00765
ZK0AAAB18NB,0.01092
ZK0AAAB40NB,0.01244
ZK0AAAB50NB,0.007855
ZK0AAAB52NB,0.009829
ZK0AAAE79NB,0.01115
ZK0AAAE86NB,0.01359
ZK0AAAE88NB,0.0
ZK0AAAE92NB,0.01092
ZK0AAAE94NB,0.009402
ZK0AAAE95NB,0.005322
ZK0AAAB65NB,0.01418
ZK0AAAB70NB,0.004331
ZK0AAAD19NB,0.005401
ZK0AAAD21NB,0.005682
ZK0AAAD26NB,0.006412
ZK0AAAD33NB,0.0
ZK0AAAD35NB,0.006263
ZK0AAAD39NB,0.01067
ZK0AAAD42NB,0.009099
ZK0AAAD43NB,0.006603
ZK0AAAE96NB,0.01044
ZK0AAAE97NB,0.009816
ZK0AAAF02NB,0.009439
ZK0AAAF07NB,0.009681
ZK0AAAF17NB,0.0
ZK0AAAF20NB,0.01003
ZK0AAAF28NB,0.0122
ZK0AAAF29NB,0.008753
ZK0AAAF32NB,0.01228
ZK0AAAF36NB,0.01161
ZK0AAAF37NB,0.009991
ZK0AAAF38NB,0.009991
ZK0AAAF51NB,0.0
ZK0CAAA01NB,0.0
ZK0CAAA03NB,0.01208
ZK0CAAA06NB,0.008253
ZK0CAAA09NB,0.005219
ZK0CAAA11NB,0.01307
ZK0CAAA12NB,0.0112
ZK0CAAA13NB,0.007678
ZK0CAAA14NB,0.009533
ZK0CAAA20NB,0.01439
ZK0CAAA22NB,0.006951
ZK0CAAA23NB,0.0068
ZK0CAAA24NB,0.008887
ZK0CAAA31NB,0.008089
ZK0CAAA40NB,0.004467
ZK0CAAA44NB,0.005321
ZK0CAAA45NB,0.0065
ZK0CAAA47NB,0.0
ZK0CAAA51NB,0.01012
ZK0CAAA55NB,0.009799
ZK0CAAA56NB,0.0162
ZK0CAAA60NB,0.00836
ZK0CAAA63NB,0.009761
ZK0CAAA64NB,0.008913
ZK0CAAA65NB,0.006884
ZK0CAAA66NB,0.006851
ZK0CAAA72NB,0.0
ZK0CAAA75NB,0.0
ZK0CAAA76NB,0.01097
ZK0CAAA78NB,0.005347
ZK0CAAA80NB,0.009414
ZK0DAAA08NB,0.009886
ZK0DAAA09NB,0.0
ZK0DAAA12NB,0.007334
ZK0DAAA13NB,0.04124
ZK0DAAA14NB,0.01056
ZK0DAAA16NB,0.01366
ZK0DAAA19NB,0.0
ZK0DAAA21NB,0.007766
ZK0DAAA23NB,0.008634
ZK0DAAA26NB,0.01409
ZK0DAAA28NB,0.01134
ZK0DAAA31NB,0.0102
ZK0DAAA39NB,0.01245
ZK0DAAA41NB,0.01197
ZK0DAAA44NB,0.01088
ZK0DAAA49NB,0.01171
MEGAAA41,0.3562
MECAAA72,0.01209
MEDAAA27,0.0494
MDCAAC16,0.01089
MEBAAA62,0.01398
MEBAAA63,0.01697
MEDAAA29,0.03279
MDCAAC57,0.4219
MEBAAA66,0.01619
MEBAAA64,0.008701
MECAAA81,0.02864
MECAAA83,0.2796
MEGAAA57,0.1083
MECAAA84,0.03709
MDCAAC78,0.01111
MECAAA87,0.03125
MDCAAC43,0.1685
MEBAAA72,0.01046
MDGAAH64,0.04011
MEAAAA52,0.4814
MECAAA96,0.1173
MECAAA94,0.0
MECAAA99,0.02156
MECAAA97,0.01678
MDCAAC99,0.2197
MECAAB01,0.01021
MEAAAA53,0.0097
MECAAB05,0.0
MECAAB08,0.007288
MECAAB09,0.01381
MEAAAA54,0.05207
MECAAB10,0.4327
MECAAB11,0.01366
MEDAAA37,0.03608
MDCAAD77,0.03284
MECAAB16,0.01085
MEDAAA38,0.03887
MDBAAA54,0.0
MQDAAA58,0.1478
MDGAAI20,0.2612
H0AAAA46,0.01106
MDAAAF15,0.008207
MDCAAC05,0.0
MDAAAD95,0.0
MDAAAD85,0.005779
MDGAAG74,0.01027
MDGAAH16,0.01235
MDGAAH86,0.01148
MDGAAI52,0.005565
MDGAAH65,0.01351
MDAAAE22,0.0108
MDAAAE48,0.1848
MDAAAE40,0.0
MDCAAC35,0.08705
