SampleID,RUN,Group_RUN
5-ZTKL09A,Research-mrdgw-all-batch1,06062024
7-UCAA16,Research-mrdgw-all-batch1,06062024
1-ZTKL02A,Research-mrdgw-all-batch1,06062024
10-UCAB01,Research-mrdgw-all-batch1,06062024
10-ZTKL06A,Research-mrdgw-all-batch1,06062024
6-MLAA85,Research-mrdgw-all-batch1,06062024
4-HMAA07,Research-mrdgw-all-batch1,06062024
8-UCAA31,Research-mrdgw-all-batch1,06062024
9-UCAA46,Research-mrdgw-all-batch1,06062024
1-QCAA30,Research-mrdgw-all-batch1,06062024
7-ZTKL12A,Research-mrdgw-all-batch1,06062024
2-MEBAAA02,Research-mrdgw-all-batch1,06062024
1-QCAA50,Research-mrdgw-all-batch1,06062024
4-ZTKL08A,Research-mrdgw-all-batch1,06062024
7-MUGAAA38,Research-mrdgw-all-batch1,06062024
5-QHAB28,Research-mrdgw-all-batch1,06062024
1-ZNAB01A,Research-mrdgw-all-06052024,06062024
8-MDGAAB36,Research-mrdgw-all-06052024,06062024
7-QCAA48,Research-mrdgw-all-06052024,06062024
8-QCAE78,Research-mrdgw-all-06052024,06062024
7-MDGAAB74,Research-mrdgw-all-06052024,06062024
15-KABB22,Research-mrdgw-all-06052024,06062024
7-MLAA82,Research-mrdgw-all-06052024,06062024
3-KABF79,Research-mrdgw-all-06052024,06062024
2-KABG28,Research-mrdgw-all-06052024,06062024
3-MDAAAA42,Research-mrdgw-all-06052024,06062024
7-MDGAAB70,Research-mrdgw-all-06052024,06062024
2-KABG67,Research-mrdgw-all-06052024,06062024
3-KABG71,Research-mrdgw-all-06052024,06062024
8-MDGAAB68,Research-mrdgw-all-06052024,06062024
6-MDGAAA20,Research-mrdgw-all-06052024,06062024
12-QHAA72,Research-mrdgw-all-06052024,06062024
16-KABB31,Research-mrdgw-all-06052024,06062024
6-QHAA48,Research-mrdgw-all-06052024,06062024
5-QCAB77,Research-mrdgw-all-06052024,06062024
15-MDGAAB37,Research-mrdgw-all-06052024,06062024
13-KABD43,Research-mrdgw-all-06052024,06062024
4-KABG84,Research-mrdgw-all-06052024,06062024
2-KABG46,Research-mrdgw-all-06052024,06062024
16-MDGAAB13,Research-mrdgw-all-06052024,06062024
12-KABF19,Research-mrdgw-all-06052024,06062024
11-MLAA20,Research-mrdgw-all-06052024,06062024
15-MDGAAB09,Research-mrdgw-all-06052024,06062024
9-QCAA64,Research-mrdgw-all-06052024,06062024
11-KABD31,Research-mrdgw-all-06052024,06062024
6-MDGAAB03,Research-mrdgw-all-06052024,06062024
1-KABG53,Research-mrdgw-all-06052024,06062024
10-KABF92,Research-mrdgw-all-06052024,06062024
5-QCAD51,Research-mrdgw-all-06052024,06062024
1-KABG81,Research-mrdgw-all-06052024,06062024
14-KABD33,Research-mrdgw-all-06052024,06062024
5-MDGAAA32,Research-mrdgw-all-06052024,06062024
