,feature_combinations,SEN,SPEC
223,"EM_score,FLEN_score,NUCLEOSOME_score,OT_NUCLEOSOME",0.30666666666666664,0.9047619047619048
224,"EM_score,FLEN_score,NUCLEOSOME_score,ichorCNA",0.5333333333333333,0.8809523809523809
225,"EM_score,FLEN_score,NUCLEOSOME_score,NMF_EM_2",0.30666666666666664,0.8809523809523809
226,"EM_score,FLEN_score,NUCLEOSOME_score,NMF_FLEN_1",0.4266666666666667,0.8809523809523809
227,"EM_score,FLEN_score,NUCLEOSOME_score,NMF_NUCLEOSOME_2",0.30666666666666664,0.9047619047619048
228,"EM_score,FLEN_score,EM_shannon,OT_EM",0.3466666666666667,0.9285714285714286
229,"EM_score,FLEN_score,EM_shannon,OT_FLEN",0.3333333333333333,0.9285714285714286
230,"EM_score,FLEN_score,EM_shannon,OT_NUCLEOSOME",0.36,0.9285714285714286
231,"EM_score,FLEN_score,EM_shannon,ichorCNA",0.5066666666666667,0.9047619047619048
232,"EM_score,FLEN_score,EM_shannon,NMF_EM_2",0.3333333333333333,0.9047619047619048
233,"EM_score,FLEN_score,EM_shannon,NMF_FLEN_1",0.4266666666666667,0.8809523809523809
234,"EM_score,FLEN_score,EM_shannon,NMF_NUCLEOSOME_2",0.3333333333333333,0.9285714285714286
235,"EM_score,FLEN_score,OT_EM,OT_FLEN",0.25333333333333335,0.9523809523809523
236,"EM_score,FLEN_score,OT_EM,OT_NUCLEOSOME",0.29333333333333333,0.9523809523809523
237,"EM_score,FLEN_score,OT_EM,ichorCNA",0.49333333333333335,0.9285714285714286
238,"EM_score,FLEN_score,OT_EM,NMF_EM_2",0.25333333333333335,0.9285714285714286
239,"EM_score,FLEN_score,OT_EM,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
240,"EM_score,FLEN_score,OT_EM,NMF_NUCLEOSOME_2",0.25333333333333335,0.9523809523809523
241,"EM_score,FLEN_score,OT_FLEN,OT_NUCLEOSOME",0.28,0.9523809523809523
242,"EM_score,FLEN_score,OT_FLEN,ichorCNA",0.49333333333333335,0.9285714285714286
243,"EM_score,FLEN_score,OT_FLEN,NMF_EM_2",0.24,0.9285714285714286
244,"EM_score,FLEN_score,OT_FLEN,NMF_FLEN_1",0.4,0.9047619047619048
245,"EM_score,FLEN_score,OT_FLEN,NMF_NUCLEOSOME_2",0.24,0.9523809523809523
246,"EM_score,FLEN_score,OT_NUCLEOSOME,ichorCNA",0.52,0.9285714285714286
247,"EM_score,FLEN_score,OT_NUCLEOSOME,NMF_EM_2",0.28,0.9285714285714286
248,"EM_score,FLEN_score,OT_NUCLEOSOME,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
249,"EM_score,FLEN_score,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.28,0.9523809523809523
250,"EM_score,FLEN_score,ichorCNA,NMF_EM_2",0.49333333333333335,0.9047619047619048
251,"EM_score,FLEN_score,ichorCNA,NMF_FLEN_1",0.56,0.8809523809523809
252,"EM_score,FLEN_score,ichorCNA,NMF_NUCLEOSOME_2",0.49333333333333335,0.9285714285714286
253,"EM_score,FLEN_score,NMF_EM_2,NMF_FLEN_1",0.4,0.8809523809523809
254,"EM_score,FLEN_score,NMF_EM_2,NMF_NUCLEOSOME_2",0.24,0.9285714285714286
255,"EM_score,FLEN_score,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.4,0.9047619047619048
256,"EM_score,NUCLEOSOME_score,EM_shannon,OT_EM",0.32,0.9285714285714286
257,"EM_score,NUCLEOSOME_score,EM_shannon,OT_FLEN",0.30666666666666664,0.9285714285714286
258,"EM_score,NUCLEOSOME_score,EM_shannon,OT_NUCLEOSOME",0.30666666666666664,0.9285714285714286
259,"EM_score,NUCLEOSOME_score,EM_shannon,ichorCNA",0.49333333333333335,0.9047619047619048
260,"EM_score,NUCLEOSOME_score,EM_shannon,NMF_EM_2",0.30666666666666664,0.9047619047619048
261,"EM_score,NUCLEOSOME_score,EM_shannon,NMF_FLEN_1",0.44,0.9047619047619048
262,"EM_score,NUCLEOSOME_score,EM_shannon,NMF_NUCLEOSOME_2",0.30666666666666664,0.9285714285714286
263,"EM_score,NUCLEOSOME_score,OT_EM,OT_FLEN",0.26666666666666666,0.9285714285714286
264,"EM_score,NUCLEOSOME_score,OT_EM,OT_NUCLEOSOME",0.26666666666666666,0.9285714285714286
265,"EM_score,NUCLEOSOME_score,OT_EM,ichorCNA",0.49333333333333335,0.9047619047619048
266,"EM_score,NUCLEOSOME_score,OT_EM,NMF_EM_2",0.26666666666666666,0.9047619047619048
267,"EM_score,NUCLEOSOME_score,OT_EM,NMF_FLEN_1",0.44,0.9047619047619048
268,"EM_score,NUCLEOSOME_score,OT_EM,NMF_NUCLEOSOME_2",0.26666666666666666,0.9285714285714286
269,"EM_score,NUCLEOSOME_score,OT_FLEN,OT_NUCLEOSOME",0.24,0.9285714285714286
270,"EM_score,NUCLEOSOME_score,OT_FLEN,ichorCNA",0.49333333333333335,0.9047619047619048
271,"EM_score,NUCLEOSOME_score,OT_FLEN,NMF_EM_2",0.24,0.9047619047619048
272,"EM_score,NUCLEOSOME_score,OT_FLEN,NMF_FLEN_1",0.4266666666666667,0.9047619047619048
273,"EM_score,NUCLEOSOME_score,OT_FLEN,NMF_NUCLEOSOME_2",0.24,0.9285714285714286
274,"EM_score,NUCLEOSOME_score,OT_NUCLEOSOME,ichorCNA",0.49333333333333335,0.9047619047619048
275,"EM_score,NUCLEOSOME_score,OT_NUCLEOSOME,NMF_EM_2",0.24,0.9047619047619048
276,"EM_score,NUCLEOSOME_score,OT_NUCLEOSOME,NMF_FLEN_1",0.4266666666666667,0.9047619047619048
277,"EM_score,NUCLEOSOME_score,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.24,0.9285714285714286
278,"EM_score,NUCLEOSOME_score,ichorCNA,NMF_EM_2",0.49333333333333335,0.8809523809523809
279,"EM_score,NUCLEOSOME_score,ichorCNA,NMF_FLEN_1",0.5866666666666667,0.8809523809523809
280,"EM_score,NUCLEOSOME_score,ichorCNA,NMF_NUCLEOSOME_2",0.49333333333333335,0.9047619047619048
281,"EM_score,NUCLEOSOME_score,NMF_EM_2,NMF_FLEN_1",0.4266666666666667,0.8809523809523809
282,"EM_score,NUCLEOSOME_score,NMF_EM_2,NMF_NUCLEOSOME_2",0.24,0.9047619047619048
283,"EM_score,NUCLEOSOME_score,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.4266666666666667,0.9047619047619048
284,"EM_score,EM_shannon,OT_EM,OT_FLEN",0.29333333333333333,0.9523809523809523
285,"EM_score,EM_shannon,OT_EM,OT_NUCLEOSOME",0.30666666666666664,0.9523809523809523
286,"EM_score,EM_shannon,OT_EM,ichorCNA",0.4533333333333333,0.9285714285714286
287,"EM_score,EM_shannon,OT_EM,NMF_EM_2",0.28,0.9285714285714286
288,"EM_score,EM_shannon,OT_EM,NMF_FLEN_1",0.44,0.9047619047619048
289,"EM_score,EM_shannon,OT_EM,NMF_NUCLEOSOME_2",0.28,0.9523809523809523
290,"EM_score,EM_shannon,OT_FLEN,OT_NUCLEOSOME",0.30666666666666664,0.9523809523809523
291,"EM_score,EM_shannon,OT_FLEN,ichorCNA",0.4666666666666667,0.9285714285714286
292,"EM_score,EM_shannon,OT_FLEN,NMF_EM_2",0.28,0.9285714285714286
293,"EM_score,EM_shannon,OT_FLEN,NMF_FLEN_1",0.4266666666666667,0.9047619047619048
294,"EM_score,EM_shannon,OT_FLEN,NMF_NUCLEOSOME_2",0.28,0.9523809523809523
295,"EM_score,EM_shannon,OT_NUCLEOSOME,ichorCNA",0.48,0.9285714285714286
296,"EM_score,EM_shannon,OT_NUCLEOSOME,NMF_EM_2",0.29333333333333333,0.9285714285714286
297,"EM_score,EM_shannon,OT_NUCLEOSOME,NMF_FLEN_1",0.44,0.9047619047619048
