,feature_combinations,SEN_Train,SPEC_Train,NMF_EM_1,NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_EM,OT_FLEN,OT_NUCLEOSOME,ichorCNA
747,"NMF_EM_1,FLEN_score,EM_shannon,OT_EM,OT_NUCLEOSOME",0.3320610687022901,0.9176470588235294,1,0,0,0,1,0,1,1,0,1,0
748,"NMF_EM_1,FLEN_score,EM_shannon,OT_EM,ichorCNA",0.5038167938931297,0.8941176470588236,1,0,0,0,1,0,1,1,0,0,1
749,"NMF_EM_1,FLEN_score,EM_shannon,OT_FLEN,OT_NUCLEOSOME",0.33587786259541985,0.9176470588235294,1,0,0,0,1,0,1,0,1,1,0
750,"NMF_EM_1,FLEN_score,EM_shannon,OT_FLEN,ichorCNA",0.5114503816793893,0.8941176470588236,1,0,0,0,1,0,1,0,1,0,1
751,"NMF_EM_1,FLEN_score,EM_shannon,OT_NUCLEOSOME,ichorCNA",0.5267175572519084,0.8941176470588236,1,0,0,0,1,0,1,0,0,1,1
752,"NMF_EM_1,FLEN_score,OT_EM,OT_FLEN,OT_NUCLEOSOME",0.2748091603053435,0.9176470588235294,1,0,0,0,1,0,0,1,1,1,0
753,"NMF_EM_1,FLEN_score,OT_EM,OT_FLEN,ichorCNA",0.48854961832061067,0.8941176470588236,1,0,0,0,1,0,0,1,1,0,1
754,"NMF_EM_1,FLEN_score,OT_EM,OT_NUCLEOSOME,ichorCNA",0.5038167938931297,0.8941176470588236,1,0,0,0,1,0,0,1,0,1,1
755,"NMF_EM_1,FLEN_score,OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.48091603053435117,0.9411764705882353,1,0,0,0,1,0,0,0,1,1,1
756,"NMF_EM_1,NUCLEOSOME_score,EM_shannon,OT_EM,OT_FLEN",0.366412213740458,0.9176470588235294,1,0,0,0,0,1,1,1,1,0,0
757,"NMF_EM_1,NUCLEOSOME_score,EM_shannon,OT_EM,OT_NUCLEOSOME",0.366412213740458,0.9176470588235294,1,0,0,0,0,1,1,1,0,1,0
758,"NMF_EM_1,NUCLEOSOME_score,EM_shannon,OT_EM,ichorCNA",0.5381679389312977,0.8941176470588236,1,0,0,0,0,1,1,1,0,0,1
759,"NMF_EM_1,NUCLEOSOME_score,EM_shannon,OT_FLEN,OT_NUCLEOSOME",0.366412213740458,0.9176470588235294,1,0,0,0,0,1,1,0,1,1,0
760,"NMF_EM_1,NUCLEOSOME_score,EM_shannon,OT_FLEN,ichorCNA",0.5381679389312977,0.8941176470588236,1,0,0,0,0,1,1,0,1,0,1
761,"NMF_EM_1,NUCLEOSOME_score,EM_shannon,OT_NUCLEOSOME,ichorCNA",0.5381679389312977,0.8941176470588236,1,0,0,0,0,1,1,0,0,1,1
762,"NMF_EM_1,NUCLEOSOME_score,OT_EM,OT_FLEN,OT_NUCLEOSOME",0.3244274809160305,0.9176470588235294,1,0,0,0,0,1,0,1,1,1,0
763,"NMF_EM_1,NUCLEOSOME_score,OT_EM,OT_FLEN,ichorCNA",0.5267175572519084,0.8941176470588236,1,0,0,0,0,1,0,1,1,0,1
764,"NMF_EM_1,NUCLEOSOME_score,OT_EM,OT_NUCLEOSOME,ichorCNA",0.5267175572519084,0.8941176470588236,1,0,0,0,0,1,0,1,0,1,1
765,"NMF_EM_1,NUCLEOSOME_score,OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.4961832061068702,0.9176470588235294,1,0,0,0,0,1,0,0,1,1,1
766,"NMF_EM_1,EM_shannon,OT_EM,OT_FLEN,OT_NUCLEOSOME",0.3320610687022901,0.9176470588235294,1,0,0,0,0,0,1,1,1,1,0
767,"NMF_EM_1,EM_shannon,OT_EM,OT_FLEN,ichorCNA",0.5076335877862596,0.8941176470588236,1,0,0,0,0,0,1,1,1,0,1
768,"NMF_EM_1,EM_shannon,OT_EM,OT_NUCLEOSOME,ichorCNA",0.5190839694656488,0.8941176470588236,1,0,0,0,0,0,1,1,0,1,1
769,"NMF_EM_1,EM_shannon,OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.5229007633587787,0.8941176470588236,1,0,0,0,0,0,1,0,1,1,1
770,"NMF_EM_1,OT_EM,OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.5,0.8941176470588236,1,0,0,0,0,0,0,1,1,1,1
771,"NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,NUCLEOSOME_score",0.42748091603053434,0.8823529411764706,0,1,1,1,1,1,0,0,0,0,0
772,"NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,EM_shannon",0.4083969465648855,0.8823529411764706,0,1,1,1,1,0,1,0,0,0,0
773,"NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,OT_EM",0.38549618320610685,0.8823529411764706,0,1,1,1,1,0,0,1,0,0,0
774,"NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,OT_FLEN",0.3931297709923664,0.8941176470588236,0,1,1,1,1,0,0,0,1,0,0
775,"NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,OT_NUCLEOSOME",0.3931297709923664,0.8941176470588236,0,1,1,1,1,0,0,0,0,1,0
776,"NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,ichorCNA",0.5419847328244275,0.8823529411764706,0,1,1,1,1,0,0,0,0,0,1
